timestamps,TP9,AF7,AF8,TP10,Right AUX
1587019719.057,-55.664,65.918,-5.859,-95.215,48.340
1587019719.061,-108.887,66.406,-5.859,-135.254,-17.578
1587019719.065,-140.137,69.336,-5.371,-164.551,1.953
1587019719.069,-86.914,67.383,-8.301,-123.535,44.922
1587019719.072,-28.320,65.918,-5.371,-70.312,33.691
1587019719.076,-55.664,64.941,-1.465,-84.473,47.852
1587019719.080,-98.633,66.895,-3.906,-120.117,31.738
1587019719.084,-60.059,64.941,0.000,-88.379,21.484
1587019719.088,-0.488,59.082,5.859,-21.484,36.133
1587019719.092,-13.184,60.059,11.719,-19.043,30.762
1587019719.096,-57.129,60.547,14.648,-63.965,26.855
1587019719.100,-43.457,58.105,14.648,-56.641,2.930
1587019719.104,24.414,56.641,16.113,4.883,33.203
1587019719.108,35.156,57.617,18.066,20.996,58.594
1587019719.112,-25.879,57.617,18.555,-26.855,14.648
1587019719.115,-40.039,59.082,18.555,-43.945,-1.465
1587019719.119,19.043,58.594,18.066,4.395,40.527
1587019719.123,56.641,56.152,18.066,40.527,54.199
1587019719.127,9.766,56.641,20.996,5.371,20.996
1587019719.131,-32.715,58.594,22.949,-32.715,37.598
1587019719.135,19.043,52.734,19.043,-7.812,36.133
1587019719.139,71.777,48.340,19.043,38.574,23.926
1587019719.143,39.062,49.316,22.461,20.020,77.148
1587019719.147,-11.230,47.363,27.832,-22.461,75.684
1587019719.151,11.230,44.434,29.297,-8.301,3.418
1587019719.155,72.266,44.434,29.297,46.387,10.254
1587019719.158,64.453,45.898,29.785,48.340,1.953
1587019719.162,2.930,45.898,29.785,-4.395,-18.555
1587019719.166,-3.906,44.434,30.762,-7.812,5.859
1587019719.170,47.852,39.551,28.320,49.805,17.578
1587019719.174,67.871,41.016,31.250,70.801,59.082
1587019719.178,12.695,43.945,35.156,26.855,122.559
1587019719.182,-15.625,43.457,34.180,2.441,47.363
1587019719.186,38.574,42.969,30.762,39.062,-34.668
1587019719.190,72.754,41.992,28.320,71.289,-3.418
1587019719.194,16.113,43.457,29.785,34.668,-17.578
1587019719.197,-27.344,45.898,30.762,-5.859,7.324
1587019719.201,18.555,42.969,26.367,18.555,63.965
1587019719.205,76.660,42.969,28.320,67.871,49.316
1587019719.209,49.805,47.852,34.668,57.617,49.316
1587019719.213,-0.488,46.387,33.691,7.324,6.348
1587019719.217,27.344,44.434,33.691,17.578,-40.039
1587019719.221,92.285,41.992,35.156,70.801,0.977
1587019719.225,90.820,41.504,33.203,71.289,-0.488
1587019719.229,21.484,43.945,34.180,22.461,16.602
1587019719.233,6.836,41.504,36.621,8.789,29.785
1587019719.237,70.312,40.039,35.156,57.617,-48.828
1587019719.240,84.473,38.574,36.133,82.520,-28.320
1587019719.244,22.461,37.109,39.551,38.574,62.500
1587019719.248,-14.648,36.621,39.551,9.766,28.809
1587019719.252,34.668,34.668,35.156,43.945,-9.766
1587019719.256,78.613,34.180,29.297,80.078,7.812
1587019719.260,34.180,37.598,28.809,47.363,55.176
1587019719.264,-13.672,39.551,29.297,-1.953,20.996
1587019719.268,18.066,38.574,27.832,18.555,8.789
1587019719.272,73.242,39.062,27.344,70.312,10.742
1587019719.276,55.176,41.504,26.855,60.059,-24.414
1587019719.280,-5.859,39.551,26.855,3.418,-9.766
